Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2004,2004,tonnes,2257,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2005,2005,tonnes,2020,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2006,2006,tonnes,1780,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2007,2007,tonnes,1591,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2008,2008,tonnes,1042,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2009,2009,tonnes,1100,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2010,2010,tonnes,713,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2011,2011,tonnes,635,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2012,2012,tonnes,988,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2013,2013,tonnes,630,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2014,2014,tonnes,1067,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2015,2015,tonnes,780,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2016,2016,tonnes,1139,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2017,2017,tonnes,1078,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2018,2018,tonnes,1130,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2019,2019,tonnes,1130,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2020,2020,tonnes,1170,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2000,2000,ha,53020,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2001,2001,ha,50416,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2002,2002,ha,49477,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2003,2003,ha,48652,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2004,2004,ha,47367,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2005,2005,ha,46723,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2006,2006,ha,43888,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2007,2007,ha,43252,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1341,Apples,2008,2008,ha,42073,A,Official figure
